ID,GruenhornApotheke,AbcApotheke,HeliosApotheke,420BrokkoliApotheke,CannflosApotheke,GrueneblueteApotheke,Cannabisapo24Apotheke
74,IMC CBD 14 C01: God Bud,None,None,IMC 1/14,IMC 1/14,Cannabis Flos 1/14 IMC C01 (God Bud),IMC 1/14 Hybrid C01
75,IMC THC 17 T01: Hindu Kush,IMC 17/1,IMC 17/1 – Hindu Kush,None,IMC 17/1,Cannabis Flos 17/1 IMC T01 (Hindu-Kush),IMC 17/1 T01
76,IMC THC 20 T01: Hindu Kush,IMC 20/1,IMC 20/1 T01 – Hindu Kush,None,IMC 20/1,Cannabis Flos 20/1 IMC T01 (Hindu Kush),IMC 20/1 T01
77,None,None,None,None,IMC 21/1,None,None
78,IMC THC 25 T03: Gorilla Glue 4,None,IMC 25/1 T03 – Gorilla Glue – GG4,IMC THC 25 T03,IMC 25/1 T03,IMC THC25 T03 (Gorilla Glue),IMC THC25 T03 GG4
79,IMC THC 25 T04: Strawberry OG,None,IMC 25/1 T04 – STRAWBERRY OG,IMC Cannabisblüten THC25 T04,IMC T04,IMC Cannabisblüten THC25 T04 (Strawberry OG),IMC THC25 T04 - Strawberry OG
80,IMC THC 22 T02: OG Kush,None,IMC 22/1 T02 – OG Kush,IMC THC22 T02 OG Kush,None,Cannabis Flos 22/1 IMC T02 (OG Kush),IMC THC22 T02 OG Kush
81,LOT 420 GLT: Gelato33,LOT 420 GLT,LOT 420 GLT – GELATO33,LOT 420 GLT -  Gelato #33,LOT 420 Gelato 33,LOT 420 GLT (Gelato33),LOT 420 GLT
82,LOT 420 OC: Orange Cake,LOT 420 OC,LOT 420 OC – ORANGE CAKE,LOT 420 OC - Orange Cake,LOT 420 OC,None,LOT 420 OC
83,MAC 1+: MAC 1,MAC 1+,MAC 1+ – Miracle Alien Cookies,MAC 1+,MAC 1+,Mac 1+ (Mac 1+),Cantourage Mac 1+
84,MAC 3+: Ice & Sugar,MAC 3+,MAC 3+ – Ice & Sugar,MAC 3+,MAC 3+,Mac 3+ (Ice & Sugar),Cantourage Mac 3+
85,Navcora THC22 Spotlight Montevideo: Gorilla Glue,None,None,Navcora THC22 Spotlight Montevideo: Gorilla Glue,Navcora THC 22 Spotlight Montevideo,None,Navcora THC22 Spotlight Montevideo
